Timesteps  Total_Iterations  Iterations  Convergence  
872  1756  2  1  
873  1758  2  1  
874  1760  2  1  
875  1762  2  1  
876  1764  2  1  
877  1766  2  1  
878  1768  2  1  
879  1770  2  1  
880  1772  2  1  
881  1774  2  1  
882  1776  2  1  
883  1778  2  1  
884  1780  2  1  
885  1782  2  1  
886  1784  2  1  
887  1786  2  1  
888  1788  2  1  
889  1790  2  1  
890  1792  2  1  
891  1794  2  1  
892  1796  2  1  
893  1798  2  1  
894  1800  2  1  
895  1802  2  1  
896  1804  2  1  
897  1806  2  1  
898  1808  2  1  
899  1810  2  1  
900  1812  2  1  
901  1814  2  1  
902  1816  2  1  
903  1818  2  1  
904  1820  2  1  
905  1822  2  1  
906  1824  2  1  
907  1826  2  1  
908  1828  2  1  
909  1830  2  1  
910  1832  2  1  
911  1834  2  1  
912  1836  2  1  
913  1838  2  1  
914  1840  2  1  
915  1842  2  1  
916  1844  2  1  
917  1846  2  1  
918  1848  2  1  
919  1850  2  1  
920  1852  2  1  
921  1854  2  1  
922  1856  2  1  
923  1858  2  1  
924  1860  2  1  
925  1862  2  1  
926  1864  2  1  
927  1866  2  1  
928  1868  2  1  
929  1870  2  1  
930  1872  2  1  
931  1874  2  1  
932  1876  2  1  
933  1878  2  1  
934  1880  2  1  
935  1882  2  1  
936  1884  2  1  
937  1886  2  1  
938  1888  2  1  
939  1890  2  1  
940  1892  2  1  
941  1894  2  1  
942  1896  2  1  
943  1898  2  1  
944  1900  2  1  
945  1902  2  1  
946  1904  2  1  
947  1906  2  1  
948  1908  2  1  
949  1910  2  1  
950  1912  2  1  
951  1914  2  1  
952  1916  2  1  
953  1918  2  1  
954  1920  2  1  
955  1922  2  1  
956  1924  2  1  
957  1926  2  1  
958  1928  2  1  
959  1930  2  1  
960  1932  2  1  
961  1934  2  1  
962  1936  2  1  
963  1938  2  1  
964  1940  2  1  
965  1942  2  1  
966  1944  2  1  
967  1946  2  1  
968  1948  2  1  
969  1950  2  1  
970  1952  2  1  
971  1954  2  1  
972  1956  2  1  
973  1958  2  1  
974  1960  2  1  
975  1962  2  1  
976  1964  2  1  
977  1966  2  1  
978  1968  2  1  
979  1970  2  1  
980  1972  2  1  
981  1974  2  1  
982  1976  2  1  
983  1978  2  1  
984  1980  2  1  
985  1982  2  1  
986  1984  2  1  
987  1986  2  1  
988  1988  2  1  
989  1990  2  1  
990  1992  2  1  
991  1994  2  1  
992  1996  2  1  
993  1998  2  1  
994  2000  2  1  
995  2002  2  1  
996  2004  2  1  
997  2006  2  1  
998  2008  2  1  
999  2010  2  1  
1000  2012  2  1  
1001  2014  2  1  
1002  2016  2  1  
1003  2018  2  1  
1004  2020  2  1  
1005  2022  2  1  
1006  2024  2  1  
1007  2026  2  1  
1008  2028  2  1  
1009  2030  2  1  
1010  2032  2  1  
1011  2034  2  1  
1012  2036  2  1  
1013  2038  2  1  
1014  2040  2  1  
1015  2042  2  1  
1016  2044  2  1  
1017  2046  2  1  
1018  2048  2  1  
1019  2050  2  1  
1020  2052  2  1  
1021  2054  2  1  
1022  2056  2  1  
1023  2058  2  1  
1024  2060  2  1  
1025  2062  2  1  
1026  2064  2  1  
1027  2066  2  1  
1028  2068  2  1  
1029  2070  2  1  
1030  2072  2  1  
1031  2074  2  1  
1032  2076  2  1  
1033  2078  2  1  
1034  2080  2  1  
1035  2082  2  1  
1036  2084  2  1  
1037  2086  2  1  
1038  2088  2  1  
1039  2090  2  1  
1040  2092  2  1  
1041  2094  2  1  
1042  2096  2  1  
1043  2098  2  1  
1044  2100  2  1  
1045  2102  2  1  
1046  2104  2  1  
1047  2106  2  1  
1048  2108  2  1  
1049  2110  2  1  
1050  2112  2  1  
1051  2114  2  1  
1052  2116  2  1  
1053  2118  2  1  
1054  2120  2  1  
1055  2122  2  1  
1056  2124  2  1  
1057  2125  1  1  
1058  2127  2  1  
1059  2128  1  1  
1060  2130  2  1  
1061  2131  1  1  
1062  2133  2  1  
1063  2134  1  1  
1064  2136  2  1  
1065  2137  1  1  
1066  2139  2  1  
1067  2140  1  1  
1068  2142  2  1  
1069  2143  1  1  
1070  2145  2  1  
1071  2146  1  1  
1072  2148  2  1  
1073  2149  1  1  
1074  2151  2  1  
1075  2152  1  1  
1076  2154  2  1  
1077  2155  1  1  
1078  2157  2  1  
1079  2158  1  1  
1080  2160  2  1  
1081  2161  1  1  
1082  2163  2  1  
1083  2164  1  1  
1084  2166  2  1  
1085  2167  1  1  
1086  2169  2  1  
1087  2170  1  1  
1088  2172  2  1  
1089  2173  1  1  
1090  2175  2  1  
1091  2176  1  1  
1092  2178  2  1  
1093  2179  1  1  
1094  2181  2  1  
1095  2182  1  1  
1096  2184  2  1  
1097  2185  1  1  
1098  2187  2  1  
1099  2188  1  1  
1100  2190  2  1  
1101  2191  1  1  
1102  2193  2  1  
1103  2194  1  1  
1104  2196  2  1  
1105  2197  1  1  
1106  2199  2  1  
1107  2200  1  1  
1108  2202  2  1  
1109  2203  1  1  
1110  2205  2  1  
1111  2206  1  1  
1112  2208  2  1  
1113  2209  1  1  
1114  2211  2  1  
1115  2212  1  1  
1116  2214  2  1  
1117  2215  1  1  
1118  2217  2  1  
1119  2218  1  1  
1120  2220  2  1  
1121  2221  1  1  
1122  2223  2  1  
1123  2224  1  1  
1124  2226  2  1  
1125  2227  1  1  
1126  2229  2  1  
1127  2230  1  1  
1128  2232  2  1  
1129  2233  1  1  
1130  2235  2  1  
1131  2236  1  1  
1132  2238  2  1  
1133  2239  1  1  
1134  2241  2  1  
1135  2242  1  1  
1136  2244  2  1  
1137  2245  1  1  
1138  2247  2  1  
1139  2248  1  1  
1140  2250  2  1  
1141  2251  1  1  
1142  2253  2  1  
1143  2254  1  1  
1144  2256  2  1  
1145  2257  1  1  
1146  2259  2  1  
1147  2260  1  1  
1148  2262  2  1  
1149  2263  1  1  
1150  2265  2  1  
1151  2266  1  1  
1152  2268  2  1  
1153  2269  1  1  
1154  2271  2  1  
1155  2272  1  1  
1156  2274  2  1  
1157  2275  1  1  
1158  2277  2  1  
1159  2278  1  1  
1160  2280  2  1  
1161  2281  1  1  
1162  2283  2  1  
1163  2284  1  1  
1164  2286  2  1  
1165  2287  1  1  
1166  2289  2  1  
1167  2290  1  1  
1168  2292  2  1  
1169  2293  1  1  
1170  2295  2  1  
1171  2296  1  1  
1172  2298  2  1  
1173  2299  1  1  
1174  2301  2  1  
1175  2302  1  1  
1176  2304  2  1  
1177  2305  1  1  
1178  2307  2  1  
1179  2308  1  1  
1180  2310  2  1  
1181  2311  1  1  
1182  2313  2  1  
1183  2314  1  1  
1184  2316  2  1  
1185  2317  1  1  
1186  2319  2  1  
1187  2320  1  1  
1188  2322  2  1  
1189  2323  1  1  
1190  2325  2  1  
