"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Energy"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
39	5.000000000000000e-02	9.999999999999998e-02	1.223480200209183e+00	5.226111343171936e-02	1.549310142373231e+00	2.532614085444168e+05	-1.304005883273618e-07	-6.633321047999630e-08	-1.393726112297600e-07	8.600653382018209e-05	1.013041705886648e+05	2.884434789578340e+02	5.881523994899565e-01	3.721423954143546e-03	
40	1.556169130857233e-01	0.000000000000000e+00	1.223248734029167e+00	-1.760393807792792e+00	-2.238769180367802e-02	2.532206605606545e+05	-1.107848033310432e-07	-1.095603425760316e-07	-5.966951366342954e-08	5.422611138783395e-05	1.012877574610041e+05	2.884513169933699e+02	-1.726489775199401e+00	4.227124762180637e-03	
41	2.839218261072460e-01	0.000000000000000e+00	1.223367377279980e+00	-3.198644442876776e+00	2.706387817232509e-02	2.532489772477567e+05	-1.107848033310432e-07	-1.095603425760316e-07	-5.966951366342954e-08	5.422611138783395e-05	1.012979181295135e+05	2.884522758803441e+02	-2.935933558748703e-01	7.679603301127850e-03	
42	4.397884157931302e-01	0.000000000000000e+00	1.223265917608463e+00	-4.511549739539952e+00	4.766225554037765e-02	2.532312561866862e+05	-8.352966718305765e-08	-1.552431827533951e-07	-4.878670556429654e-08	7.042495417408645e-05	1.012891742771910e+05	2.884512998411226e+02	-1.526684925820520e+00	1.083288201004446e-02	
43	6.291373375439351e-01	0.000000000000000e+00	1.223219240937493e+00	-5.716832014491569e+00	2.208217722836485e-02	2.532245665792919e+05	-8.352966718305765e-08	-1.552431827533951e-07	-4.878670556429654e-08	7.042495417408645e-05	1.012844829198439e+05	2.884489462616555e+02	-2.188278121017145e+00	1.372685491306704e-02	
44	8.591611135289196e-01	0.000000000000000e+00	1.223183367306657e+00	-6.565409417672317e+00	7.323645065731793e-03	2.532198925961832e+05	-6.015566156314378e-08	-4.797724617588983e-08	-5.532131197583112e-08	5.166410119272768e-05	1.012809090920068e+05	2.884472276846637e+02	-2.692273021186245e+00	1.576480079049461e-02	
45	1.138597166736120e+00	0.000000000000000e+00	1.223170315886175e+00	-7.050454723977436e+00	2.461626827017358e-02	2.532202415074549e+05	-6.015566156314378e-08	-4.797724617588983e-08	-5.532131197583112e-08	5.166410119272768e-05	1.012799686232346e+05	2.884476269859451e+02	-2.824901532282497e+00	1.692974870168639e-02	
46	1.478060002192989e+00	0.000000000000000e+00	1.223094470889215e+00	-7.142605398486660e+00	3.662101332910021e-03	2.532080220522719e+05	-4.199084835398992e-08	2.366832356770487e-07	-7.381636943359915e-08	4.007550887763500e-05	1.012748665666506e+05	2.884509821647376e+02	-3.544413108080871e+00	1.715188497954628e-02	
47	1.890444260078662e+00	0.000000000000000e+00	1.223334864928417e+00	-6.598020802847461e+00	-2.719872124054484e-02	2.532614524473542e+05	-4.199084835398992e-08	2.366832356770487e-07	-7.381636943359915e-08	4.007550887763500e-05	1.012974636115661e+05	2.884586477215969e+02	-3.576912190003214e-01	1.584095609874113e-02	
48	2.391414492989535e+00	0.000000000000000e+00	1.222787273653589e+00	-5.597421407550448e+00	-1.661561508312780e-01	2.531528132018783e+05	-3.094875378195638e-08	4.638014754476671e-07	-7.562251203019343e-08	1.548271393403411e-05	1.012559962227449e+05	2.884696888543375e+02	-6.205581336210876e+00	1.345022081279963e-02	
