"PointID"	"x"	"y"	"z"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
33	1.471170249167535e+00	0.000000000000000e+00	0.000000000000000e+00	1.226776398635196e+00	1.680693313056803e+00	1.749018925552520e-06	-3.976791138274447e-01	2.536583895041201e+05	1.014628695062329e+05	2.881191160455265e+02	2.296848205230455e+01	4.137304652110791e-03	
34	1.888651177197898e+00	0.000000000000000e+00	0.000000000000000e+00	1.226890903497350e+00	3.469060658380900e+00	2.911594015200678e-06	-1.517205314628308e-01	2.536899185532493e+05	1.014740019000073e+05	2.881238352520392e+02	2.453841489315147e+01	8.317301917330006e-03	
35	2.366053103263216e+00	0.000000000000000e+00	0.000000000000000e+00	1.226655692605274e+00	4.859125122441948e+00	3.536955281807538e-06	-6.458291575735545e-02	2.536468027605661e+05	1.014548707543604e+05	2.881247517999365e+02	2.184046740380296e+01	1.164218859650141e-02	
36	2.911976422070750e+00	0.000000000000000e+00	0.000000000000000e+00	1.227009497598360e+00	6.343142276523681e+00	3.155379097768947e-06	-2.506847537357409e-01	2.537233965026410e+05	1.014827900623670e+05	2.881209378014685e+02	2.577775523438357e+01	1.520404569203302e-02	
37	3.536256032270161e+00	0.000000000000000e+00	0.000000000000000e+00	1.226555897176953e+00	7.215975010326642e+00	4.963017293164542e-06	-1.872162745724941e-02	2.536247330308550e+05	1.014414026664209e+05	2.881099427552877e+02	1.994114601902123e+01	1.728944964370737e-02	
38	4.250138575122366e+00	0.000000000000000e+00	0.000000000000000e+00	1.226315557643684e+00	7.852874226007809e+00	3.505823450309600e-06	-8.170850734539964e-02	2.535608491052511e+05	1.014142811690581e+05	2.880893634779709e+02	1.611636850346716e+01	1.882077289118616e-02	
39	5.066484356588371e+00	0.000000000000000e+00	0.000000000000000e+00	1.225971645696703e+00	8.391957525087795e+00	2.218794910836358e-06	-4.748920932095164e-02	2.534579841112214e+05	1.013717044380986e+05	2.880491964553912e+02	1.011203470577260e+01	2.011905720785440e-02	
40	6.000000000000000e+00	0.000000000000000e+00	9.999999999976482e-01	1.225361182009636e+00	9.108138876312982e+00	5.336343749748060e-07	-1.895954307636654e-01	2.532996703699649e+05	1.013063220782334e+05	2.880068224213261e+02	8.915637051790566e-01	2.185291436195671e-02	
41	6.000000000000000e+00	0.000000000000000e+00	1.999999999994776e+00	1.225294990550842e+00	9.716384677559047e+00	6.372078402191729e-07	-3.215805784484222e-01	2.532961583001862e+05	1.013030365785959e+05	2.880130398390588e+02	4.282299528880713e-01	2.332098305303531e-02	
42	6.000000000000000e+00	0.000000000000000e+00	2.999999999997367e+00	1.225350045006344e+00	1.009221409615786e+01	9.261209031446346e-08	-1.573199546907229e-01	2.532980932515310e+05	1.013026089852431e+05	2.879988839066884e+02	3.679290992912326e-01	2.421223025899403e-02	
43	5.000000000003816e+00	0.000000000000000e+00	4.000000000000000e+00	1.225991982713034e+00	1.073980499573315e+01	1.351132147308072e-06	-1.256245641314497e-01	2.534874400812323e+05	1.013761571177685e+05	2.880570703791357e+02	1.073996866005949e+01	2.574840664431946e-02	
44	4.000000000007630e+00	0.000000000000000e+00	4.000000000000000e+00	1.226415567195932e+00	1.151511666818255e+01	1.808983309950079e-06	-2.726165642869670e-01	2.536350601305536e+05	1.014323882812443e+05	2.881173038828200e+02	1.866990286903794e+01	2.760062054906442e-02	
45	3.000000000011446e+00	0.000000000000000e+00	4.000000000000000e+00	1.226786580382905e+00	1.267386990081812e+01	2.134229415021751e-06	-1.133926112044332e-01	2.537593902716112e+05	1.014775673911094e+05	2.881584613070805e+02	2.504123411499365e+01	3.035939244474024e-02	
46	2.000000000015261e+00	0.000000000000000e+00	4.000000000000000e+00	1.226597375088096e+00	1.364312123098942e+01	1.134561491414680e-06	-7.531509694929758e-02	2.537574019478566e+05	1.014726100816656e+05	2.881888312900521e+02	2.434213533571875e+01	3.268367674802555e-02	
47	1.000000000014143e+00	0.000000000000000e+00	4.000000000000000e+00	1.226324209996648e+00	1.421349566884226e+01	-5.559353225332743e-07	-7.910153894171580e-03	2.537426614601251e+05	1.014641167681214e+05	2.882288987374815e+02	2.314437570461547e+01	3.405477852657529e-02	
48	8.093969938727241e-12	0.000000000000000e+00	4.000000000000000e+00	1.226136853466081e+00	1.360691109353071e+01	-1.544528736934111e-06	1.533663816461089e-01	2.537609769760690e+05	1.014741867311938e+05	2.883015508694642e+02	2.456448049552703e+01	3.260437288065482e-02	
49	-9.999999999979572e-01	0.000000000000000e+00	4.000000000000000e+00	1.225267963246559e+00	1.242080376157141e+01	-2.991669889860626e-06	4.406200439048569e-02	2.536441686518354e+05	1.014324846742464e+05	2.883874328358360e+02	1.868349657966021e+01	2.977723332805657e-02	
