Timesteps  Total_Iterations  Iterations  Convergence  
1033  2076  2  1  
1034  2078  2  1  
1035  2080  2  1  
1036  2082  2  1  
1037  2084  2  1  
1038  2086  2  1  
1039  2088  2  1  
1040  2090  2  1  
1041  2092  2  1  
1042  2094  2  1  
1043  2096  2  1  
1044  2098  2  1  
1045  2100  2  1  
1046  2102  2  1  
1047  2104  2  1  
1048  2106  2  1  
1049  2108  2  1  
1050  2110  2  1  
1051  2112  2  1  
1052  2114  2  1  
1053  2116  2  1  
1054  2118  2  1  
1055  2120  2  1  
1056  2122  2  1  
1057  2124  2  1  
1058  2126  2  1  
1059  2128  2  1  
1060  2130  2  1  
1061  2132  2  1  
1062  2134  2  1  
1063  2136  2  1  
1064  2138  2  1  
1065  2140  2  1  
1066  2142  2  1  
1067  2144  2  1  
1068  2146  2  1  
1069  2148  2  1  
1070  2150  2  1  
1071  2152  2  1  
1072  2154  2  1  
1073  2156  2  1  
1074  2158  2  1  
1075  2160  2  1  
1076  2162  2  1  
1077  2164  2  1  
1078  2166  2  1  
1079  2168  2  1  
1080  2170  2  1  
1081  2172  2  1  
1082  2174  2  1  
1083  2176  2  1  
1084  2178  2  1  
1085  2180  2  1  
1086  2182  2  1  
1087  2184  2  1  
1088  2186  2  1  
1089  2188  2  1  
1090  2190  2  1  
1091  2192  2  1  
1092  2194  2  1  
1093  2196  2  1  
1094  2198  2  1  
1095  2200  2  1  
1096  2202  2  1  
1097  2204  2  1  
1098  2206  2  1  
1099  2208  2  1  
1100  2210  2  1  
1101  2212  2  1  
1102  2214  2  1  
1103  2216  2  1  
1104  2218  2  1  
1105  2220  2  1  
1106  2222  2  1  
1107  2224  2  1  
1108  2226  2  1  
1109  2228  2  1  
1110  2230  2  1  
1111  2232  2  1  
1112  2234  2  1  
1113  2236  2  1  
1114  2238  2  1  
1115  2240  2  1  
1116  2242  2  1  
1117  2244  2  1  
1118  2246  2  1  
1119  2248  2  1  
1120  2250  2  1  
1121  2252  2  1  
1122  2254  2  1  
1123  2256  2  1  
1124  2258  2  1  
1125  2260  2  1  
1126  2262  2  1  
1127  2264  2  1  
1128  2266  2  1  
1129  2268  2  1  
1130  2270  2  1  
1131  2272  2  1  
1132  2274  2  1  
1133  2276  2  1  
1134  2278  2  1  
1135  2280  2  1  
1136  2282  2  1  
1137  2284  2  1  
1138  2286  2  1  
1139  2288  2  1  
1140  2290  2  1  
1141  2292  2  1  
1142  2294  2  1  
1143  2296  2  1  
1144  2298  2  1  
1145  2300  2  1  
1146  2302  2  1  
1147  2304  2  1  
1148  2306  2  1  
1149  2308  2  1  
1150  2310  2  1  
1151  2312  2  1  
1152  2314  2  1  
1153  2316  2  1  
1154  2318  2  1  
1155  2320  2  1  
1156  2322  2  1  
1157  2324  2  1  
1158  2326  2  1  
1159  2328  2  1  
1160  2330  2  1  
1161  2332  2  1  
1162  2334  2  1  
1163  2336  2  1  
1164  2338  2  1  
1165  2340  2  1  
1166  2342  2  1  
1167  2344  2  1  
1168  2346  2  1  
1169  2348  2  1  
1170  2350  2  1  
1171  2352  2  1  
1172  2354  2  1  
1173  2356  2  1  
1174  2358  2  1  
1175  2360  2  1  
1176  2362  2  1  
1177  2364  2  1  
1178  2366  2  1  
1179  2368  2  1  
1180  2370  2  1  
1181  2372  2  1  
1182  2374  2  1  
1183  2376  2  1  
1184  2378  2  1  
1185  2380  2  1  
1186  2382  2  1  
1187  2384  2  1  
1188  2386  2  1  
1189  2388  2  1  
1190  2390  2  1  
1191  2392  2  1  
1192  2394  2  1  
1193  2396  2  1  
1194  2398  2  1  
1195  2400  2  1  
1196  2402  2  1  
1197  2404  2  1  
1198  2406  2  1  
1199  2408  2  1  
1200  2410  2  1  
1201  2412  2  1  
1202  2414  2  1  
1203  2416  2  1  
1204  2418  2  1  
1205  2420  2  1  
1206  2422  2  1  
1207  2424  2  1  
1208  2426  2  1  
1209  2428  2  1  
1210  2430  2  1  
1211  2432  2  1  
1212  2434  2  1  
1213  2436  2  1  
1214  2438  2  1  
1215  2440  2  1  
1216  2442  2  1  
1217  2444  2  1  
1218  2446  2  1  
1219  2448  2  1  
1220  2450  2  1  
1221  2452  2  1  
1222  2454  2  1  
1223  2456  2  1  
1224  2458  2  1  
1225  2460  2  1  
1226  2462  2  1  
1227  2464  2  1  
1228  2466  2  1  
1229  2468  2  1  
1230  2470  2  1  
1231  2472  2  1  
1232  2474  2  1  
1233  2476  2  1  
1234  2478  2  1  
1235  2480  2  1  
1236  2482  2  1  
1237  2484  2  1  
1238  2486  2  1  
1239  2488  2  1  
1240  2490  2  1  
1241  2492  2  1  
1242  2494  2  1  
1243  2496  2  1  
1244  2498  2  1  
1245  2500  2  1  
1246  2502  2  1  
1247  2504  2  1  
1248  2506  2  1  
1249  2508  2  1  
1250  2510  2  1  
1251  2512  2  1  
1252  2514  2  1  
1253  2516  2  1  
1254  2518  2  1  
1255  2520  2  1  
1256  2522  2  1  
1257  2524  2  1  
1258  2526  2  1  
1259  2528  2  1  
1260  2530  2  1  
1261  2532  2  1  
1262  2534  2  1  
1263  2536  2  1  
