TimeWindow  TotalIterations  Iterations  Convergence  
947  4403  4  1  
948  4408  5  1  
949  4411  3  1  
950  4415  4  1  
951  4419  4  1  
952  4422  3  1  
953  4426  4  1  
954  4430  4  1  
955  4434  4  1  
956  4438  4  1  
957  4442  4  1  
958  4446  4  1  
959  4449  3  1  
960  4453  4  1  
961  4457  4  1  
962  4460  3  1  
963  4464  4  1  
964  4468  4  1  
965  4472  4  1  
966  4475  3  1  
967  4479  4  1  
968  4482  3  1  
969  4485  3  1  
970  4489  4  1  
971  4493  4  1  
972  4496  3  1  
973  4501  5  1  
974  4504  3  1  
975  4508  4  1  
976  4511  3  1  
977  4514  3  1  
978  4518  4  1  
979  4522  4  1  
980  4526  4  1  
981  4529  3  1  
982  4533  4  1  
983  4537  4  1  
984  4541  4  1  
985  4546  5  1  
986  4550  4  1  
987  4554  4  1  
988  4558  4  1  
989  4563  5  1  
990  4568  5  1  
991  4573  5  1  
992  4576  3  1  
993  4582  6  1  
994  4586  4  1  
995  4591  5  1  
996  4596  5  1  
997  4600  4  1  
998  4604  4  1  
999  4608  4  1  
1000  4612  4  1  
1001  4617  5  1  
1002  4622  5  1  
1003  4625  3  1  
1004  4629  4  1  
1005  4632  3  1  
1006  4636  4  1  
1007  4640  4  1  
1008  4645  5  1  
1009  4648  3  1  
1010  4653  5  1  
1011  4657  4  1  
1012  4661  4  1  
1013  4665  4  1  
1014  4669  4  1  
1015  4674  5  1  
1016  4677  3  1  
1017  4682  5  1  
1018  4687  5  1  
1019  4691  4  1  
1020  4695  4  1  
1021  4700  5  1  
1022  4703  3  1  
1023  4707  4  1  
1024  4710  3  1  
1025  4713  3  1  
1026  4718  5  1  
1027  4723  5  1  
1028  4727  4  1  
1029  4730  3  1  
1030  4735  5  1  
1031  4739  4  1  
1032  4743  4  1  
1033  4748  5  1  
1034  4753  5  1  
1035  4757  4  1  
1036  4762  5  1  
1037  4766  4  1  
1038  4770  4  1  
1039  4775  5  1  
1040  4779  4  1  
1041  4784  5  1  
1042  4787  3  1  
1043  4792  5  1  
1044  4796  4  1  
1045  4800  4  1  
1046  4804  4  1  
1047  4809  5  1  
1048  4813  4  1  
1049  4816  3  1  
1050  4820  4  1  
1051  4824  4  1  
1052  4828  4  1  
1053  4833  5  1  
1054  4836  3  1  
1055  4839  3  1  
1056  4843  4  1  
1057  4846  3  1  
1058  4851  5  1  
1059  4855  4  1  
1060  4860  5  1  
1061  4864  4  1  
1062  4868  4  1  
1063  4874  6  1  
1064  4878  4  1  
1065  4882  4  1  
1066  4887  5  1  
1067  4891  4  1  
1068  4895  4  1  
1069  4900  5  1  
1070  4904  4  1  
